BasketballPass__QP_37_nF_2_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32	Ir	Dr	Dw	I1mr	D1mr	D1mw	ILmr	DLmr	DLmw
TEncSbac::xCopyFrom	11,110	5,050	5,050	67	1,405	97	2	10	2
TEncSbac::loadIntraDirMode	11,055	5,360	3,685	24	1,768	70	3	2	0
/build/buildd/eglibc-2.19/elf/../sysdeps/i386/dl-tlsdesc.S:0x000187a8	10,982	10,982	0	11	0	0	1	0	0
/build/buildd/eglibc-2.19/libio/fileops.c:_IO_file_overflow@@GLIBC_2.1	10,796	3,213	2,073	24	5	17	10	0	0
std::ios_base::ios_base	10,792	912	4,864	215	36	237	3	0	33
std::string::_M_leak_hard	10,573	3,863	3,539	6	102	11	4	0	0
TComRdCost::calcRdCost	10,504	3,636	2,222	452	558	10	5	6	0
std::__detail::_List_node_base::_M_hook	10,134	5,630	4,504	6	420	123	2	1	0
QpParam::QpParam	10,028	2,566	1,788	523	240	0	3	1	0
bool	9,739	3,837	2,952	205	631	259	3	0	0
bool	9,735	3,835	2,950	24	364	128	2	0	0
bool	9,735	3,835	2,950	15	185	132	2	0	0
initZscanToRaster	9,459	3,453	3,591	2	0	33	2	0	33
xITrMxN	9,112	2,413	2,957	1,222	122	369	20	0	2
SAOOffset::reset	8,904	504	6,048	2	4	374	2	0	367
std::basic_ios<char,	8,858	2,364	4,429	169	284	7	5	0	0
/build/buildd/eglibc-2.19/wcsmbs/btowc.c:btowc	8,704	2,688	1,920	3	6	0	3	0	0
std::ctype<char>	8,700	3,600	2,700	15	269	128	2	0	0
TComPrediction::xDCPredFiltering	8,617	2,825	932	139	77	0	4	0	0
TEncBinCABACCounter::getNumWrittenBits	8,592	4,833	2,148	129	256	86	1	0	0
std::num_put<char,	8,555	3,540	2,655	22	135	128	3	0	0
std::num_get<char,	8,555	3,540	2,655	4	143	132	1	0	0
0x0005d260	8,415	2,404	1,203	10	57	0	2	1	0
/build/buildd/eglibc-2.19/libio/putc.c:putc	8,323	3,248	2,233	7	5	1	4	0	0
std::ostreambuf_iterator<char,	8,177	2,718	2,388	18	401	381	10	0	0
std::ios_base::_M_init	8,081	2,396	4,190	25	58	4	3	0	0
std::locale::operator=	8,073	3,289	2,392	9	149	128	3	0	0
TComTrQuant::xTransformSkip	7,920	2,196	1,584	252	72	144	7	0	0
TEncSearch::xEncIntraHeader	7,862	3,216	2,082	974	516	97	11	3	1
ContextModel3DBuffer::initBuffer	7,672	2,640	2,454	3	60	0	3	13	0
std::locale::_Impl::_M_install_facet	7,620	2,858	282	7	31	5	7	0	0
df::program_options_lite::Option<int>::~Option	7,577	1,991	1,988	3	269	4	3	9	0
TEncSbac::resetBits	7,518	4,833	2,685	86	1,349	47	1	16	1
std::_Rb_tree_decrement	7,481	2,919	0	8	161	0	3	0	0
TEncEntropy::estimateBit	7,152	3,278	2,384	5	627	136	2	11	0
TEncTop::TEncTop	6,891	7	4,162	22	2	536	22	0	527
TAppEncCfg::TAppEncCfg	6,807	7	4,101	16	2	525	16	0	525
TComTU::useDST	6,795	4,120	820	103	80	0	1	0	0
TComDataCU::initSubCU	6,784	2,784	2,888	64	123	90	16	37	80
TEncSbac::codeTransformSkipFlags	6,774	3,881	885	205	254	25	4	5	0
std::basic_ostream<char,	6,684	2,952	1,606	26	127	68	16	0	0
std::string::reserve	6,517	2,420	1,863	74	23	66	4	0	0
TEncBinCABAC::resetBits	6,444	1,611	3,759	85	156	0	1	6	0
TAppEncTop::xInitLibCfg	6,421	4,833	4,793	65	587	600	65	0	51
TComPrediction::UseDPCMForFirstPassIntraEstimation	6,384	4,032	672	14	330	0	2	0	0
std::string::append	6,364	2,158	1,701	24	79	18	6	0	0
std::string::_Rep::_M_clone	6,335	2,420	2,236	76	25	65	2	0	0
TEncTop::xInitRPS	6,333	2,244	3,155	22	139	22	22	63	9
isAboveLeftAvailable	6,256	2,176	2,176	700	466	278	3	10	8
std::basic_streambuf<char,	5,952	2,176	1,600	129	206	192	3	0	0
TEncEntropy::encodeIntraDirModeLuma	5,950	3,400	2,125	42	170	3	1	1	0
0x000466da	5,886	1,731	1,387	3	24	0	0	0	0
/build/buildd/eglibc-2.19/elf/dl-version.c:_dl_check_map_versions	5,877	2,182	1,014	14	154	76	14	48	63
0x0007a080	5,871	2,214	647	8	191	0	3	0	0
std::string::assign	5,816	1,851	1,078	172	34	3	3	0	0
TComDataCU::setTransformSkipSubParts	5,725	2,977	1,603	244	346	24	2	0	2
std::istream::operator>>	5,720	1,948	2,301	13	165	30	4	0	0
copyPlane	5,583	2,499	1,968	8	160	0	7	0	0
std::basic_stringbuf<char,	5,520	1,937	1,637	12	65	62	4	0	0
df::program_options_lite::Option<GOPEntry>::setDefault	5,504	4,416	4,224	1	531	512	1	0	0
df::program_options_lite::scanFile	5,486	1,761	1,476	15	485	0	6	0	0
df::program_options_lite::Option<bool>::~Option	5,391	1,426	1,416	4	206	3	4	8	0
std::basic_stringbuf<char,	5,388	2,054	1,414	136	208	0	9	0	0
df::program_options_lite::OptionSpecific&	5,375	1,625	2,375	3	121	13	3	0	0
TComDataCU::setExplicitRdpcmModePartRange	5,364	2,682	1,788	344	182	292	2	0	12
TComDataCU::setCbfPartRange	5,364	2,682	1,788	232	394	142	2	30	0
std::ostream&	5,340	2,189	1,648	16	144	1	9	0	0
TComTU::GetEquivalentLog2TrSize	5,302	2,410	482	210	114	0	1	0	0
TComRdCost::setDistParam	5,066	2,682	1,788	296	352	0	1	22	0
/build/buildd/eglibc-2.19/elf/dl-cache.c:_dl_cache_libcmp	5,063	900	369	5	44	4	5	38	0
TEncEntropy::encodeQtCbf	4,942	2,824	1,765	108	141	37	1	0	0
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/../mempcpy.S:__GI_mempcpy	4,926	2,026	866	6	8	25	6	2	11
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/strcmp-ssse3.S:__strcmp_ssse3	4,760	2,975	0	209	22	0	2	0	0
TComSlice::initEqualRef	4,738	150	1,170	11	0	32	11	0	32
TComDataCU::setTrIdxSubParts	4,632	2,316	1,351	363	591	0	2	0	0
Com	26112643	10653585	4287769	47633	283694	236160	834	985	34245
Enc	3634639	1194762	739951	30347	79264	42595	582	945	7629
Other	9156900	2589796	1778772	24447	204771	246444	2683	47071	110679
