Traffic__QP_32_nF_8_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
TComRdCost::setDistParam	2433206532	1288168164	858778776	19766313	152658308	26183680	6167	124025	0	2413434052	1135385831	832595096	4.33628048087 %	0.812356564889 %	8.33006091897 %	0.00284252483669 %	0.00025345156356 %	0.00577680787957 %
TComTU::getGolombRiceStatisticsIndex	2430288875	1316233984	202497536	42669303	44083344	0	15287	20	0	2387604285	1272150620	202497536	2.19681435705 %	1.75572967637 %	2.90264233141 %	0.000387615116381 %	0.000629019873203 %	1.31688845175e-06 %
TEncSbac::codeQtCbfZero	2383673995	1068543515	986347860	7592808	138086557	2134861	16774	0	0	2376064413	930456958	984212999	3.33022527953 %	0.318533827022 %	6.82378736443 %	0.000377914902716 %	0.000703703611953 %	0.0 %
TComDataCU::getCoefScanIdx	2356976662	1041704336	519862929	53373663	50193913	35483145	11259	58595	11710	2303591740	991451828	484368074	3.54853036205 %	2.26449688113 %	5.48660694421 %	0.00208148744839 %	0.000477688225833 %	0.00450220759462 %
TEncSbac::resetBits	2292478720	1473736320	818742400	7272501	360854430	8841181	8888	57495	2742	2285197331	1112824395	809898477	8.22184539187 %	0.317233086465 %	16.1264576973 %	0.00150764758244 %	0.000387702617366 %	0.00262759254751 %
TEncBinCABACCounter::getNumWrittenBits	2246101568	1263432132	561525392	7228333	129290382	3313884	5894	2169	0	2238867341	1134139581	558211508	3.43479659322 %	0.321816836023 %	7.26615629439 %	0.000198056569993 %	0.000262410217061 %	0.000118852081294 %
TEncSearch::encodeResAndCalcRdInterCU	2192724587	785742916	807209519	95386295	172137475	69945103	277173	2781239	26957	2097061119	610824202	737237459	8.91435986321 %	4.35012657611 %	15.1971002198 %	0.081501115443 %	0.0126405751841 %	0.176288754033 %
TComPrediction::predIntraAng	2077750304	842587580	552882021	18480633	37023857	2377907	11094	6188	1311	2059258577	805557535	550502803	1.66653418393 %	0.889453990907 %	2.82354871591 %	0.000535324583774 %	0.00053394288903 %	0.000537381824343 %
TComPrediction::initAdiPatternChType	2022528633	775268316	561637158	49041234	47614637	49674757	22684	708662	108400	1973464715	726945017	511854001	4.35581182245 %	2.42474856473 %	7.27720814164 %	0.0249966504254 %	0.00112156632197 %	0.0611159140186 %
TEncSearch::xExtDIFUpSamplingH	1995741420	640143471	1142216790	74753177	124786938	6217087	133864	199588	5955	1920854379	515156945	1135993748	5.44604723146 %	3.74563439185 %	7.35003062324 %	0.00898353270127 %	0.00670748217472 %	0.0115320681513 %
QpParam::QpParam	1977701728	503068547	340861134	40059095	37944726	2362608	9535	11447	0	1937633098	465112374	338498526	2.84822563088 %	2.0255377458 %	4.77614840519 %	0.000743612363155 %	0.000482125280319 %	0.00135639263054 %
TEncBinCABAC::resetBits	1964981760	491245440	1146239360	3615232	17964161	34025	3960	4272	0	1961362568	473277007	1146205335	0.599961655161 %	0.183982980076 %	1.09913606526 %	0.000228510101701 %	0.000201528588235 %	0.00026088791786 %
TComDataCU::getInterMergeCandidates	1964869915	688237412	666340222	143771048	59299407	25924061	430981	4144941	18842	1820667886	624793064	640397319	6.89857310952 %	7.31707717149 %	6.29151595751 %	0.13841953916 %	0.0219343273929 %	0.307386073377 %
TComDataCU::getIntraDirPredictor	1914450273	632539344	504075605	40404124	39304273	5172207	20781	384419	638	1874025368	592850652	498902760	2.78199900113 %	2.11048176961 %	3.91306484567 %	0.0133015183377 %	0.00108548131508 %	0.0338775238122 %
TComPrediction::xPredInterBi	1865127868	715062740	585466856	24584816	71757128	19009592	52207	153583	8242	1840490845	643152029	566449022	3.64384136034 %	1.31813032349 %	6.97921218242 %	0.00676105998308 %	0.00279911103661 %	0.0124430078714 %
TComPrediction::xPredIntraPlanar	1859472004	840301312	321324328	12753614	4876484	20981343	8372	111	61208	1846710018	835424717	300281777	1.27806001493 %	0.685872869963 %	2.22600346528 %	0.00230681057722 %	0.000450235334654 %	0.00527872301441 %
